Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
ACD010A,What language(s) {do you/does SP} usually speak at home?,ACQ_D,Acculturation,2005,2006,Questionnaire,None
ACD010B,What language(s) {do you/does SP} usually speak at home?,ACQ_D,Acculturation,2005,2006,Questionnaire,None
ACD010C,What language(s) {do you/does SP} usually speak at home?,ACQ_D,Acculturation,2005,2006,Questionnaire,None
ACD040,Now I'm going to ask you about language use. What language(s) {do you/does SP} usually speak at home?,ACQ_D,Acculturation,2005,2006,Questionnaire,None
SEQN,Respondent sequence number.,ACQ_D,Acculturation,2005,2006,Questionnaire,None
ALQ101,"The next questions are about drinking alcoholic beverages.  Included are liquor (such as whiskey or gin), beer, wine, wine coolers, and any other type of alcoholic beverage.In any one year, {have you/has SP} had at least 12 drinks of any type of alcoholic beverage?  By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and half ounces of liquor.",ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
ALQ110,"In {your/SP's} entire life, {have you/has he/ has she} had at least 12 drinks of any type of alcoholic beverage?",ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
ALQ120Q,"In the past 12 months, how often did {you/SP} drink any type of alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} drink?",ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
ALQ120U,UNIT OF MEASURE.,ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
ALQ130,"In the past 12 months, on those days that {you/SP} drank alcoholic beverages, on the average, how many drinks did {you/he/she} have?",ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
ALQ140Q,"In the past 12 months, on how many days did {you/SP} have 5 or more drinks of any alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} have 5 or more drinks in a single day?",ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
ALQ140U,UNIT OF MEASURE.,ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
ALQ150,Was there ever a time or times in {your/SP's} life when {you/he/she} drank 5 or more drinks of any kind of alcoholic beverage almost every day?,ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
SEQN,Respondent sequence number.,ALQ_D,Alcohol Use,2005,2006,Questionnaire,None
ALQ101,"The next questions are about drinking alcoholic beverages.  Included are liquor (such as whiskey or gin), beer, wine, wine coolers, and any other type of alcoholic beverage.In any one year, {have you/has SP} had at least 12 drinks of any type of alcoholic beverage?  By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and half ounces of liquor.",ALQ_E,Alcohol Use,2007,2008,Questionnaire,None
ALQ110,"In {your/SP's} entire life, {have you/has he/ has she} had at least 12 drinks of any type of alcoholic beverage?",ALQ_E,Alcohol Use,2007,2008,Questionnaire,None
ALQ120Q,"In the past 12 months, how often did {you/SP} drink any type of alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} drink?",ALQ_E,Alcohol Use,2007,2008,Questionnaire,None
ALQ120U,UNIT OF MEASURE.,ALQ_E,Alcohol Use,2007,2008,Questionnaire,None
ALQ130,"In the past 12 months, on those days that {you/SP} drank alcoholic beverages, on the average, how many drinks did {you/he/she} have?",ALQ_E,Alcohol Use,2007,2008,Questionnaire,None
