Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
PFQ020,"{Do you/Does SP} have an impairment or health problem that limits {your/his/her} ability to {walk, run or play} {walk or run}?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ030,"Is this an impairment or health problem that has lasted, or is expected to last 12 months or longer?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ033,"{Do you/Does SP} have any impairment or health problem that requires {you/him/her} to use special equipment, such as a brace, a wheelchair, or a hearing aid (excluding ordinary eyeglasses or corrective shoes)?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ041,Does {SP} receive Special Education or Early Intervention Services?,PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ049,"The next set of questions is about limitations caused by any long-term physical, mental or emotional problem or illness.  Please do not include temporary conditions, such as a cold [or pregnancy].  Does a physical, mental or emotional problem now keep {you/SP} from working at a job or business?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ051,"{Are you/Is SP} limited in the kind or amount of work {you/s/he} can do because of a physical, mental or emotional problem?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ054,"Because of a health problem, {do you/does SP} have difficulty walking without using any special equipment?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ057,{Are you/Is SP} limited in any way because of difficulty remembering or because {you/s/he} experience{s} periods of confusion?,PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ059,"{Are you/Is SP} limited in any way in any activity because of a physical, mental or emotional problem?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061A,"The next questions ask about difficulties {you/SP} may have doing certain activities because of a health problem.  By ""health problem"" we mean any long-term physical, mental or emotional problem or illness {not including pregnancy}.   By {yourself/himself /herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .managing {your/his/her} money [such as keeping track of {your/his/her} expenses or paying bills]?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061B,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .walking for a quarter of a mile [that is about 2 or 3 blocks]?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061C,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .walking up 10 steps without resting?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061D,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .stooping, crouching, or kneeling?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061E,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .lifting or carrying something as heavy as 10 pounds [like a sack of potatoes or rice]?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061F,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .doing chores around the house [like vacuuming, sweeping, dusting, or straightening up]?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061G,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .preparing {your/his/her} own meals?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061H,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .walking from one room to another on the same level?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061I,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .standing up from an armless straight chair?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061J,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .getting in or out of bed?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061K,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .eating, like holding a fork, cutting food or drinking from a glass?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061L,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .dressing {yourself/himself/herself}, including tying shoes, working zippers, and doing buttons?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061M,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .standing or being on {your/his/her} feet for about 2 hours?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061N,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .sitting for about 2 hours?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061O,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .reaching up over {your/his/her} head?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061P,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .using {your/his/her} fingers to grasp or handle small objects?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061Q,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .going out to things like shopping, movies, or sporting events?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061R,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .participating in social activities [visiting friends, attending clubs or meetings or going to parties]?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061S,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .doing things to relax at home or for leisure [reading, watching TV, sewing, listening to music]?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ061T,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .pushing or pulling large objects like a living room chair?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ063A,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ063B,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ063C,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ063D,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ063E,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
PFQ090,"{Do you/Does SP} now have any health problem that requires {you/him/her} to use special equipment, such as a cane, a wheelchair, a special bed, or a special telephone?",PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
SEQN,Respondent sequence number.,PFQ_I,Physical Functioning,2015,2016,Questionnaire,None
CDQ001,{Have you/Has SP} ever had any pain or discomfort in {your/her/his} chest?,CDQ_I,Cardiovascular Health,2015,2016,Questionnaire,None
CDQ002,{Do you/Does she/Does he} get it when {you/she/he} walk uphill or hurry?,CDQ_I,Cardiovascular Health,2015,2016,Questionnaire,None
CDQ003,{Do you/Does she/Does he} get it when {you/she/he} walk at an ordinary pace on level ground?,CDQ_I,Cardiovascular Health,2015,2016,Questionnaire,None
CDQ004,What {do you/does she/does he} do if {you/she/he} get it while {you/she/he} are walking?  {Do you/Does she/Does he} stop or slow down or continue at the same pace?,CDQ_I,Cardiovascular Health,2015,2016,Questionnaire,None
CDQ005,"If {you/she/he} stand still, what happens to it?  Is the pain or discomfort relieved or not relieved?",CDQ_I,Cardiovascular Health,2015,2016,Questionnaire,None
CDQ006,How soon is the pain relieved?  Would you say...,CDQ_I,Cardiovascular Health,2015,2016,Questionnaire,None
CDQ008,Have {you/she/he} ever had a severe pain across the front of {your/her/his} chest lasting for half an hour or more?,CDQ_I,Cardiovascular Health,2015,2016,Questionnaire,None
CDQ009A,Please look at this card and show me where the pain or discomfort is located.,CDQ_I,Cardiovascular Health,2015,2016,Questionnaire,None
CDQ009B,Please look at this card and show me where the pain or discomfort is located.,CDQ_I,Cardiovascular Health,2015,2016,Questionnaire,None
CDQ009C,Please look at this card and show me where the pain or discomfort is located.,CDQ_I,Cardiovascular Health,2015,2016,Questionnaire,None
CDQ009D,Please look at this card and show me where the pain or discomfort is located.,CDQ_I,Cardiovascular Health,2015,2016,Questionnaire,None
CDQ009E,Please look at this card and show me where the pain or discomfort is located.,CDQ_I,Cardiovascular Health,2015,2016,Questionnaire,None
CDQ009F,Please look at this card and show me where the pain or discomfort is located.,CDQ_I,Cardiovascular Health,2015,2016,Questionnaire,None
CDQ009G,Please look at this card and show me where the pain or discomfort is located.,CDQ_I,Cardiovascular Health,2015,2016,Questionnaire,None
CDQ009H,Please look at this card and show me where the pain or discomfort is located.,CDQ_I,Cardiovascular Health,2015,2016,Questionnaire,None
CDQ010,{Have you/Has SP} had shortness of breath either when hurrying on the level or walking up a slight hill?,CDQ_I,Cardiovascular Health,2015,2016,Questionnaire,None
SEQN,Respondent sequence number.,CDQ_I,Cardiovascular Health,2015,2016,Questionnaire,None
AGQ030,"During the past 12 months, {have you/has SP} had an episode of hay fever?",MCQ_I,Medical Conditions,2015,2016,Questionnaire,None
MCD093,In what year did {you/SP} receive {your/his/her} first transfusion?,MCQ_I,Medical Conditions,2015,2016,Questionnaire,None
MCQ010,The following questions are about different medical conditions. Has a doctor or other health professional ever told {you/SP} that {you have/s/he/SP has} asthma (az-ma)?,MCQ_I,Medical Conditions,2015,2016,Questionnaire,None
MCQ025,How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had asthma (az-ma)?,MCQ_I,Medical Conditions,2015,2016,Questionnaire,None
MCQ035,{Do you/Does SP} still have asthma (az-ma)?,MCQ_I,Medical Conditions,2015,2016,Questionnaire,None
