Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
SEQN,Respondent sequence number,UR1_H_R,24-Hour Urine Collection Data Processing - First Collection,2013,2014,Laboratory,RDC Only
UR1UCSTS,Urine collection status,UR1_H_R,24-Hour Urine Collection Data Processing - First Collection,2013,2014,Laboratory,RDC Only
URDNCSP,Number of complete 24-hour urine specimens,UR1_H_R,24-Hour Urine Collection Data Processing - First Collection,2013,2014,Laboratory,RDC Only
UR1DBMU,Number of days between the urine collection day and the day of MEC examination.,UR1_H_R,24-Hour Urine Collection Data Processing - First Collection,2013,2014,Laboratory,RDC Only
UR1ASSIG,Assigned to collect the 24-hour urine specimen on a weekday or weekend?,UR1_H_R,24-Hour Urine Collection Data Processing - First Collection,2013,2014,Laboratory,RDC Only
UR1COLL,Day of the week the 24-hour urine specimen was collected.,UR1_H_R,24-Hour Urine Collection Data Processing - First Collection,2013,2014,Laboratory,RDC Only
UR1REAS,Reason(s) a urine specimen was incomplete,UR1_H_R,24-Hour Urine Collection Data Processing - First Collection,2013,2014,Laboratory,RDC Only
UR1904A,Where was the urine collection started?,UR1_H_R,24-Hour Urine Collection Data Processing - First Collection,2013,2014,Laboratory,RDC Only
UR1904B,Where was the urine collection ended?,UR1_H_R,24-Hour Urine Collection Data Processing - First Collection,2013,2014,Laboratory,RDC Only
UR1009,Were you able to keep the storage containers cold in the cooler with ice packs or in the refrigerator until this appointment?,UR1_H_R,24-Hour Urine Collection Data Processing - First Collection,2013,2014,Laboratory,RDC Only
UR1010,How long was the sample not kept cold (minutes)?,UR1_H_R,24-Hour Urine Collection Data Processing - First Collection,2013,2014,Laboratory,RDC Only
UR1011,Did you perform this collection on a day that you also went to work?,UR1_H_R,24-Hour Urine Collection Data Processing - First Collection,2013,2014,Laboratory,RDC Only
UR1012,"When collecting the sample, did you have any difficulty in remembering or carrying out the instructions?",UR1_H_R,24-Hour Urine Collection Data Processing - First Collection,2013,2014,Laboratory,RDC Only
UR1013,Did you have any other problem when collecting the 24-hour urine sample?,UR1_H_R,24-Hour Urine Collection Data Processing - First Collection,2013,2014,Laboratory,RDC Only
UR1014,Did you eat or drink more or less than you normally do because you were collecting your urine?,UR1_H_R,24-Hour Urine Collection Data Processing - First Collection,2013,2014,Laboratory,RDC Only
UR1TOVOL,Total urine volume (mL),UR1_H_R,24-Hour Urine Collection Data Processing - First Collection,2013,2014,Laboratory,RDC Only
