Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
SEQN,Respondent sequence number.,DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
WTDRD1,Dietary day one 2-Year sample weight - Used for 1999-2000 data collection years only,DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
WTDR4YR,Dietary day one 4-Year sample weight - Used for 1999-2002 data collection years only,DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXILINE,Food/Individual Component Number (sequential number),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRDDRSTS,Dietary recall status,DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRDINTMD,Mode of interview,DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRDDAY,Intake day of the week,DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRALANG,The SP/Proxy spoke mostly:,DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXCCMNM,Combination food number (sequential Number),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRDCCMTY,Combination food type,DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRD020,What time did you begin to eat/drink the meal/food.,DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRD030,Coded meal name,DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRD040,List of places: Where did you eat this meal/food?,DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRDCFF,Combination food flag,DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRDMRUF,Flag for modified recipe use,DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRDIFDCD,USDA food code,DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRDISODF,Salt adjustment flag of individual food,DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIGRMS,Gram weight of the food/individual component,DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIKCAL,Energy (kcal),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIPROT,Protein (gm),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXICARB,Carbohydrate (gm),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXITFAT,Total fat (gm),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXISFAT,Total saturated fatty acids (gm),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIMFAT,Total monounsaturated fatty acids (gm),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIPFAT,Total polyunsaturated fatty acids (gm),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXICHOL,Cholesterol (mg),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIFIBE,Dietary fiber (gm),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIVAIU,Vitamin A (IU),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIVARE,Vitamin A (RE),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXICARO,Carotene (RE),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIVB1,Thiamin (Vitamin B1) (mg),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIVB2,Riboflavin (Vitamin B2) (mg),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXINIAC,Niacin (mg),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIVB6,Vitamin B6 (mg),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIFOLA,Total Folate (mcg),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIVB12,Vitamin B12 (mcg),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIVC,Vitamin C (mg),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIVE,Vitamin E (Alpha-Tocopherol Equivalents) (mg),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXICALC,Calcium (mg),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIPHOS,Phosphorus (mg),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIMAGN,Magnesium (mg),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIIRON,Iron (mg),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIZINC,Zinc (mg),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXICOPP,Copper (mg),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRDISODI,Sodium (mg)(adjusted for salt use in food preparation),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIPOTA,Potassium (mg),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXISELE,Selenium (mcg),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXICAFF,Caffeine (mg),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXITHEO,Theobromine (mg),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIALCO,Alcohol (gm),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIWATE,Moisture (gm),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIS040,SFA 4:0 (Butanoic) (gm),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIS060,SFA 6:0 (Hexanoic) (gm),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIS080,SFA 8:0 (Octanoic) (gm),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIS100,SFA 10:0 (Decanoic) (gm),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIS120,SFA 12:0 (Dodecanoic) (gm),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIS140,SFA 14:0 (Tetradecanoic) (gm),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIS160,SFA 16:0 (Hexadecanoic) (gm),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIS180,SFA 18:0 (Octadecanoic) (gm),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIM161,MFA 16:1 (Hexadecenoic) (gm),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
DRXIM181,MFA 18:1 (Octadecenoic) (gm),DRXIFF,Dietary Interview - Individual Foods,1999,2000,Dietary,None
